state	tree1	tree2	MatchingSplit
1129	12	19	12.0
1130	12	20	12.0
1131	12	21	8.0
1132	12	22	8.0
1133	12	23	3.0
1134	12	24	8.0
1135	12	25	6.0
1136	12	26	8.0
1137	12	27	6.0
1138	12	28	8.0
1139	12	29	6.0
1140	12	30	6.0
1141	12	31	6.0
1142	12	32	6.0
1143	12	33	6.0
1144	12	34	6.0
1145	12	35	0.0
1146	12	36	0.0
1147	12	37	6.0
1148	12	38	8.0
1149	12	39	3.0
1150	12	40	10.0
1151	12	41	3.0
1152	12	42	3.0
1153	12	43	3.0
1154	12	44	9.0
1155	12	45	9.0
1156	12	46	9.0
1157	12	47	6.0
1158	12	48	6.0
1159	12	49	9.0
1160	12	50	6.0
1161	12	51	6.0
1162	12	52	3.0
1163	12	53	6.0
1164	12	54	8.0
1165	12	55	8.0
1166	12	56	6.0
1167	12	57	6.0
1168	12	58	6.0
1169	12	59	6.0
1170	12	60	6.0
1171	12	61	6.0
1172	12	62	6.0
1173	12	63	9.0
1174	12	64	6.0
1175	12	65	3.0
1176	12	66	6.0
1177	12	67	6.0
1178	12	68	6.0
1179	12	69	6.0
1180	12	70	6.0
1181	12	71	3.0
1182	12	72	6.0
1183	12	73	3.0
1184	12	74	3.0
1185	12	75	6.0
1186	12	76	6.0
1187	12	77	6.0
1188	12	78	6.0
1189	12	79	6.0
1190	12	80	9.0
1191	12	81	6.0
1192	12	82	3.0
1193	12	83	3.0
1194	12	84	6.0
1195	12	85	6.0
1196	12	86	6.0
1197	12	87	6.0
1198	12	88	3.0
1199	12	89	6.0
1200	12	90	6.0
1201	12	91	6.0
1202	12	92	6.0
1203	12	93	6.0
1204	12	94	6.0
1205	12	95	6.0
1206	12	96	6.0
1207	12	97	3.0
1208	12	98	0.0
1209	12	99	0.0
1210	13	14	5.0
1211	13	15	5.0
1212	13	16	6.0
1213	13	17	5.0
1214	13	18	4.0
1215	13	19	12.0
1216	13	20	12.0
1217	13	21	7.0
1218	13	22	7.0
1219	13	23	4.0
1220	13	24	7.0
1221	13	25	5.0
1222	13	26	7.0
1223	13	27	5.0
1224	13	28	7.0
1225	13	29	5.0
1226	13	30	5.0
1227	13	31	5.0
1228	13	32	5.0
1229	13	33	5.0
1230	13	34	5.0
1231	13	35	5.0
1232	13	36	5.0
1233	13	37	5.0
1234	13	38	7.0
1235	13	39	4.0
1236	13	40	9.0
1237	13	41	4.0
1238	13	42	4.0
1239	13	43	4.0
1240	13	44	8.0
1241	13	45	8.0
1242	13	46	8.0
1243	13	47	5.0
1244	13	48	5.0
1245	13	49	8.0
1246	13	50	5.0
1247	13	51	5.0
1248	13	52	4.0
1249	13	53	5.0
1250	13	54	7.0
1251	13	55	7.0
1252	13	56	5.0
1253	13	57	5.0
1254	13	58	5.0
1255	13	59	5.0
1256	13	60	5.0
1257	13	61	5.0
1258	13	62	5.0
1259	13	63	8.0
1260	13	64	5.0
1261	13	65	4.0
1262	13	66	5.0
1263	13	67	5.0
1264	13	68	5.0
1265	13	69	5.0
1266	13	70	5.0
1267	13	71	4.0
1268	13	72	5.0
1269	13	73	4.0
1270	13	74	4.0
1271	13	75	5.0
1272	13	76	5.0
1273	13	77	5.0
1274	13	78	5.0
1275	13	79	5.0
1276	13	80	8.0
1277	13	81	5.0
1278	13	82	4.0
1279	13	83	4.0
1280	13	84	5.0
1281	13	85	5.0
1282	13	86	5.0
1283	13	87	5.0
1284	13	88	4.0
1285	13	89	5.0
1286	13	90	5.0
1287	13	91	5.0
1288	13	92	5.0
1289	13	93	5.0
1290	13	94	5.0
1291	13	95	5.0
1292	13	96	5.0
1293	13	97	4.0
1294	13	98	5.0
1295	13	99	5.0
1296	14	15	6.0
1297	14	16	5.0
1298	14	17	6.0
1299	14	18	3.0
1300	14	19	12.0
1301	14	20	12.0
1302	14	21	2.0
1303	14	22	2.0
1304	14	23	3.0
1305	14	24	8.0
1306	14	25	0.0
1307	14	26	7.0
1308	14	27	0.0
1309	14	28	7.0
1310	14	29	0.0
1311	14	30	0.0
1312	14	31	0.0
1313	14	32	0.0
1314	14	33	0.0
1315	14	34	0.0
1316	14	35	6.0
1317	14	36	6.0
1318	14	37	0.0
1319	14	38	8.0
1320	14	39	3.0
1321	14	40	9.0
1322	14	41	3.0
1323	14	42	3.0
1324	14	43	3.0
1325	14	44	6.0
1326	14	45	6.0
1327	14	46	6.0
1328	14	47	0.0
1329	14	48	0.0
1330	14	49	6.0
1331	14	50	0.0
1332	14	51	0.0
1333	14	52	3.0
1334	14	53	0.0
1335	14	54	7.0
1336	14	55	7.0
1337	14	56	0.0
1338	14	57	0.0
1339	14	58	0.0
1340	14	59	0.0
1341	14	60	0.0
1342	14	61	0.0
1343	14	62	0.0
1344	14	63	6.0
1345	14	64	0.0
1346	14	65	3.0
1347	14	66	0.0
1348	14	67	0.0
1349	14	68	0.0
1350	14	69	0.0
1351	14	70	0.0
1352	14	71	3.0
1353	14	72	0.0
1354	14	73	3.0
1355	14	74	3.0
